COMMAND   PID     USER   FD   TYPE             DEVICE  SIZE/OFF                NODE NAME
java    32434 mbennett   28r   REG               1,13   2605896           238803582 /Users/mbennett/.m2/repository/org/openjfx/javafx-controls/23.0.2/javafx-controls-23.0.2-linux-aarch64.jar
java    32434 mbennett   29r   REG               1,13    756723           238803579 /Users/mbennett/.m2/repository/org/openjfx/javafx-base/23.0.2/javafx-base-23.0.2-linux-aarch64.jar
java    32434 mbennett   30r   REG               1,13  41525202           238803584 /Users/mbennett/.m2/repository/org/openjfx/javafx-web/23.0.2/javafx-web-23.0.2-linux-aarch64.jar
java    32434 mbennett   31r   REG               1,13     91164           238833006 /Users/mbennett/.m2/repository/org/openjfx/javafx-swing/23.0.2/javafx-swing-23.0.2-linux-aarch64.jar
java    32434 mbennett   32r   REG               1,13   6034746           238803586 /Users/mbennett/.m2/repository/org/openjfx/javafx-graphics/23.0.2/javafx-graphics-23.0.2-win.jar
java    32434 mbennett   33r   REG               1,13   2605863           238803587 /Users/mbennett/.m2/repository/org/openjfx/javafx-controls/23.0.2/javafx-controls-23.0.2-win.jar
java    32434 mbennett   34r   REG               1,13    756716           238803591 /Users/mbennett/.m2/repository/org/openjfx/javafx-base/23.0.2/javafx-base-23.0.2-win.jar
java    32434 mbennett   35r   REG               1,13  32582307           238803592 /Users/mbennett/.m2/repository/org/openjfx/javafx-web/23.0.2/javafx-web-23.0.2-win.jar
java    32434 mbennett   36r   REG               1,13     91164           238833003 /Users/mbennett/.m2/repository/org/openjfx/javafx-swing/23.0.2/javafx-swing-23.0.2-win.jar
java    32434 mbennett   37r   REG               1,13    283367           235074483 /Users/mbennett/.m2/repository/com/google/code/gson/gson/2.10.1/gson-2.10.1.jar
java    32434 mbennett   38r   CHR               17,0       0t0                 611 /dev/random
java    32434 mbennett   39r   CHR               17,1    0t2068                 612 /dev/urandom
java    32434 mbennett   40u  unix 0x69f28e0fecc91499       0t0                     ->0x89447228aef241e1
java    32434 mbennett   41r   REG               1,13    359880 1152921500312129317 /System/Library/Extensions/AppleMetalOpenGLRenderer.bundle/Contents/Resources/default.metallib
java    32434 mbennett   42r   REG               1,13     36296 1152921500312129315 /System/Library/Extensions/AppleMetalOpenGLRenderer.bundle/Contents/Resources/PixelConverter.metallib
java    32434 mbennett   44r   REG               1,13    148781           235430525 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/shaders.metallib
java    32434 mbennett   45u   REG               1,13   5079040           234954717 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/C/net.java.openjdk.java/com.apple.metal/16777235_467/functions.data
java    32434 mbennett   46u   REG               1,13     57836           240598414 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/C/net.java.openjdk.java/com.apple.metal/16777235_467/functions.list
java    32434 mbennett   47u   REG               1,13   4292608           235039265 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/C/net.java.openjdk.java/com.apple.metal/32024/libraries.data
java    32434 mbennett   48u   REG               1,13     16508           240598429 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/C/net.java.openjdk.java/com.apple.metal/32024/libraries.list
